gerrit_project,top_level_project,category,confidence,gerrit_state,in_current_release,maintained,has_ci,discovered_by
spark-model-runner,spark-model-runner,runtime,medium,ACTIVE,false,true,,relman
testsuite,testsuite,runtime,high,ACTIVE,true,true,,oom;gerrit;relman
testsuite/cds,testsuite,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
testsuite/cds-mock-odl,testsuite,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
testsuite/cds-mock-server,testsuite,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
testsuite/cds-mock-ssh,testsuite,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
testsuite/cds-modk-odl,testsuite,runtime,medium,,,,true,jjb
testsuite/oom,testsuite,runtime,medium,ACTIVE,false,true,,gerrit;relman
testsuite/python-testing-utils,testsuite,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
testsuite/pythonsdk-tests,testsuite,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
testsuite/robot-utils,testsuite,runtime,medium,ACTIVE,false,true,,gerrit;relman
university,university,runtime,medium,ACTIVE,false,true,,gerrit;relman
usecase-ui,usecase-ui,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
usecase-ui/intent-analysis,usecase-ui,runtime,high,ACTIVE,true,,true,oom;gerrit;jjb
usecase-ui/llm-adaptation,usecase-ui,runtime,high,ACTIVE,true,,true,oom;gerrit;jjb
usecase-ui/nlp,usecase-ui,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
usecase-ui/server,usecase-ui,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
vfc,vfc,runtime,medium,ACTIVE,false,true,,gerrit;relman
vfc/gvnfm/vnflcm,vfc,runtime,medium,ACTIVE,false,true,,relman
vfc/gvnfm/vnfmgr,vfc,runtime,medium,ACTIVE,false,true,,relman
vfc/gvnfm/vnfres,vfc,runtime,medium,ACTIVE,false,true,,relman
vfc/nfvo/db,vfc,runtime,medium,ACTIVE,false,true,,gerrit;relman
vfc/nfvo/driver/vnfm/gvnfm,vfc,runtime,medium,ACTIVE,false,true,,relman
vfc/nfvo/driver/vnfm/svnfm,vfc,runtime,medium,ACTIVE,false,true,,relman
vfc/nfvo/lcm,vfc,runtime,medium,ACTIVE,false,true,,relman
vnfrqts,vnfrqts,runtime,medium,ACTIVE,false,true,,gerrit;relman
vnfrqts/epics,vnfrqts,runtime,medium,ACTIVE,false,true,,gerrit;relman
vnfrqts/guidelines,vnfrqts,runtime,medium,ACTIVE,false,true,,gerrit;relman
vnfrqts/requirements,vnfrqts,runtime,medium,ACTIVE,false,true,,gerrit;relman
vnfrqts/testcases,vnfrqts,runtime,medium,ACTIVE,false,true,,gerrit;relman
vnfrqts/usecases,vnfrqts,runtime,medium,ACTIVE,false,true,,gerrit;relman
vnfsdk,vnfsdk,runtime,medium,ACTIVE,true,true,,gerrit;relman
vnfsdk/dovetail-integration,vnfsdk,runtime,medium,ACTIVE,false,true,,relman
vnfsdk/functest,vnfsdk,runtime,medium,ACTIVE,false,true,,relman
vnfsdk/lctest,vnfsdk,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
vnfsdk/model,vnfsdk,runtime,medium,ACTIVE,false,true,,gerrit;relman
vnfsdk/pkgtools,vnfsdk,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
vnfsdk/refrepo,vnfsdk,runtime,medium,ACTIVE,false,true,,relman
vnfsdk/validation,vnfsdk,runtime,medium,ACTIVE,false,true,,relman
vvp,vvp,runtime,medium,ACTIVE,false,true,,relman
vvp/documentation,vvp,runtime,medium,ACTIVE,false,true,,relman
vvp/engagementmgr,vvp,runtime,medium,ACTIVE,false,true,,relman
vvp/regression-tests,vvp,runtime,medium,ACTIVE,false,true,,relman
vvp/test-engine,vvp,runtime,medium,ACTIVE,false,true,,relman
vvp/validation-scripts,vvp,runtime,medium,ACTIVE,false,true,,relman
